id,created_at,name,reason
1,2025-04-08 15:03:23,5 Star Chocolate,owned by Cadbury
2,2025-04-08 15:03:23,7Days,owned by Mondalez
3,2025-04-08 15:03:23,7Up,owned by Pepsi
4,2025-04-08 15:03:23,Apple,have R&D centers in the country
5,2025-04-08 15:03:23,AirBnb,enabled listings in occupied areas
6,2025-04-08 15:03:23,AMD,collaborates with Israel in AI
7,2025-04-08 15:03:23,Arsenal FC,partnerships and sponsorships involving Israeli companies and organizations
8,2025-04-08 15:03:23,ALDO,has business operations in Israel
9,2025-04-08 15:03:23,Arket,owned by H&M
10,2025-04-08 15:03:23,Axe,owned by Unilever
11,2025-04-08 15:03:23,Accenture,has a presence in Israel with offices in the country
12,2025-04-08 15:03:23,Ariel,owned by Procter & Gamble P&G
13,2025-04-08 15:03:23,Adidas,has business operations in Israel
14,2025-04-08 15:03:23,ASDA,owned by Walmart and known to sell products sourced from Israel
15,2025-04-08 15:03:23,Aquafina,owned by PepsiCo
16,2025-04-08 15:03:23,Amika,manufactured on occupied Palestinian land
17,2025-04-08 15:03:23,Activia,parent company Danone is an active Israeli food start-up investor
18,2025-04-08 15:03:23,Adobe,operates research and development centers in Israel
19,2025-04-08 15:03:23,Asics,invests in Israeli synthetic spidersilk startup
20,2025-04-08 15:03:23,Amana Tool,made in Israel
21,2025-04-08 15:03:23,Aesop,is a brand of L'Oreal
22,2025-04-08 15:03:23,Azrieli Group,an Israeli real estate and holding company
23,2025-04-08 15:03:23,American Eagle,supported Israel by showing the flag in the Times Square advertisement
24,2025-04-08 15:03:23,Amazon,partnerships with Israeli tech companies
25,2025-04-08 15:03:23,AdExtent,company based in Tel Aviv, Israel
26,2025-04-08 15:03:23,Ahava,is an Israeli skincare company
27,2025-04-08 15:03:23,Axel Springer,company's founder Axel Springer was known for his support of Israel
28,2025-04-08 15:03:23,American Airlines,routes between major US cities and Tel Aviv
29,2025-04-08 15:03:23,American Express,providing financial services and credit card facilities to Israeli consumers and businesses
30,2025-04-08 15:03:23,Anita Gelato,company based in Isreal
31,2025-04-08 15:03:23,AXA,has a presence in Israel through its investments and insurance services
32,2025-04-08 15:03:23,AdeS,beverage brand owned by Coca-Cola
33,2025-04-08 15:03:23,Aquarius,brand owned by Coca-Cola
34,2025-04-08 15:03:23,Audi,vehicles are sold and serviced through authorized dealerships in Israel
35,2025-04-08 15:03:23,Barq's,a root beer brand owned by Coca-Cola
36,2025-04-08 15:03:23,BvlgariBulgari,parent company LVMH invests heavily in Israel
37,2025-04-08 15:03:23,Bain & Company,has an office in Tel Aviv
38,2025-04-08 15:03:23,Bank of America,invests in Israeli companies
39,2025-04-08 15:03:23,Bayer,operates in the Israeli market through its pharmaceuticals and crop science
40,2025-04-08 15:03:23,Bank Leumi,one of the largest banks in Israel
41,2025-04-08 15:03:23,Bomaja,supports Israel
42,2025-04-08 15:03:23,Burger Rings,owned by PepsiCo
43,2025-04-08 15:03:23,BlackRock,debuted an ETF for European investors to directly access Israel's Tel Aviv 25 stock index
44,2025-04-08 15:03:23,Brooke Bond,owned by Unilever
45,2025-04-08 15:03:23,Barclays Bank,Funding billions in arms
46,2025-04-08 15:03:23,Bank Hapoalim,one of the largest banks in Israel
47,2025-04-08 15:03:23,Boston Consulting Group (BCG),providing consulting services to various Israeli businesses
48,2025-04-08 15:03:23,Biotherm,owned by L'Oréal
49,2025-04-08 15:03:23,Bimbo,invests in Israeli start ups
50,2025-04-08 15:03:23,Bershka,a fashion brand under the INDITEX Group
51,2025-04-08 15:03:23,Bloomberg,provides financial data and news services to Israeli markets
52,2025-04-08 15:03:23,Boeing,supplies Israel with Hellfire missiles
53,2025-04-08 15:03:23,Booz Allen Hamilton,an American management and IT consulting firm has operations in Israel
54,2025-04-08 15:03:23,Bath & Body Works,owner Les Wexner is an Israeli ally having long term business with Jeffrey Epstein
55,2025-04-08 15:03:23,Bristol Myers Squibb,Vanguard is the major shareholder
56,2025-04-08 15:03:23,Booking.com,allows listings in occupied Palestinian territory
57,2025-04-08 15:03:23,BMW,open support for Israel
58,2025-04-08 15:03:23,Burger King,has a presence in Israel
59,2025-04-08 15:03:23,Barclays,provides financial services and has investment activities in Israel
60,2025-04-08 15:03:23,Capri Holdings,parent company of Michael Kors Jimmy Choo and Versace
61,2025-04-08 15:03:23,Costa Coffee,posted social media pos for the support
62,2025-04-08 15:03:23,Carmel Agrexco,an Israeli agricultural export company
63,2025-04-08 15:03:23,Carita Paris,owned by Loreal Paris
64,2025-04-08 15:03:23,Comcast,donated over $2 million of aid to the IDF
65,2025-04-08 15:03:23,Caterpillar,Caterpillar equipment is widely used in Israel
66,2025-04-08 15:03:23,Converse,owned by Nike
67,2025-04-08 15:03:23,Coach,luxury fashion brand owned by Tapestry Inc
68,2025-04-08 15:03:23,Cappy,owned by Coca-Cola
69,2025-04-08 15:03:23,CeraVe,is owned by L'Oreal
70,2025-04-08 15:03:23,Check Point Software Technologies,headquartered in Tel Aviv
71,2025-04-08 15:03:23,Cerelac,owned by Nestlé
72,2025-04-08 15:03:23,Chanel,pledged $4m donation to Israel
73,2025-04-08 15:03:23,CyberArk,owned by Israeli founders
74,2025-04-08 15:03:23,Chapman and Cutler,law firm represents Israel-based fintechs
75,2025-04-08 15:03:23,Cinnabon,owned by Bimbo
76,2025-04-08 15:03:23,Cheerios,owned by Nestlé
77,2025-04-08 15:03:23,Cheetos,owned by PepsiCo
78,2025-04-08 15:03:23,Cornetto,owned by Wall'sUnilever
79,2025-04-08 15:03:23,Chips Ahoy!,owned by Mondelez
80,2025-04-08 15:03:23,Citi Bank,investments in the Israeli tech sector
81,2025-04-08 15:03:23,Capital One,has ties with Israel through a $500m loan deal with Elbit Systems Ltd an Israeli weapons manufacturer
82,2025-04-08 15:03:23,Carrefour,made huge investments into Israel
83,2025-04-08 15:03:23,Clal Insurance Enterprises,insurance company headquartered in Tel Aviv
84,2025-04-08 15:03:23,Clean & Clear,brand of Johnson & Johnson
85,2025-04-08 15:03:23,Clear Blue,is owned by Procter and Gamble
86,2025-04-08 15:03:23,Clinique,founder Ronald Lauder is the president of the World Jewish Congress and chairman of the Jewish National Fund
87,2025-04-08 15:03:23,Coca-Cola,operates a factory in the illegal Israeli settlement of Atarot
88,2025-04-08 15:03:23,Coffee Mate,owned by Nestle
89,2025-04-08 15:03:23,Colgate,owned by Palmolive
90,2025-04-08 15:03:23,Crowne Plaza,connections with Israel and a cessation of weapons and defense trading
91,2025-04-08 15:03:23,Conde Nast,CEO Stan Duncan supported openly as mentioned in NYT
92,2025-04-08 15:03:23,Close Up Toothpaste,owned by Unilever
93,2025-04-08 15:03:23,Celine,owned by LVMHBernard Arnault
94,2025-04-08 15:03:23,Côte d'Or,chocolate owned by Mondelez
95,2025-04-08 15:03:23,Crest,is a brand of Procter and Gamble
96,2025-04-08 15:03:23,CyberArk Software,cybersecurity company headquartered in Israel
97,2025-04-08 15:03:23,Curseforge,Overwolf the parent company of CurseForge fund the revenue generated from mods to the Israeli Defense Forces
98,2025-04-08 15:03:23,Daimler,company with R&D in Tel Aviv
99,2025-04-08 15:03:23,Delilah,is an Israeli dates brand
100,2025-04-08 15:03:23,Dr Pepper,owned by Reimann family
101,2025-04-08 15:03:23,Del Valle,owned by Coca-Cola
102,2025-04-08 15:03:23,Daim Bar,owned by Mondelez
103,2025-04-08 15:03:23,Dasani,is a brand of Coca-Cola
104,2025-04-08 15:03:23,Decathlon,company operates stores in Israel
105,2025-04-08 15:03:23,Doritos,is a brand of PepsiCo
106,2025-04-08 15:03:23,Daz,product of Procter & Gamble
107,2025-04-08 15:03:23,Dior,owner of Dior's parent company LVMH
108,2025-04-08 15:03:23,Dell,founder of Dell is a member of the Friends of the IDF
109,2025-04-08 15:03:23,Deutsche Telekom,invests in Israeli software company Teridion
110,2025-04-08 15:03:23,DHL Group,company with operations in Israel
111,2025-04-08 15:03:23,Dettol,is a brand of Reckitt Benckiser (RB)
112,2025-04-08 15:03:23,Disney,pledging $2m and further initiatives to support Israel
113,2025-04-08 15:03:23,DLA Piper,provides lawyers firm to Israel
114,2025-04-08 15:03:23,Domestos,owned by Unilever
115,2025-04-08 15:03:23,Domino's,donating food to Israeli soldiers
116,2025-04-08 15:03:23,Downy,owned by Procter and Gamble
117,2025-04-08 15:03:23,Dr. Fischer,headquartered in Israel
118,2025-04-08 15:03:23,Doctor Or,headquartered in Israel
119,2025-04-08 15:03:23,DKNY,Held an IOF Fundraiser in NYC
120,2025-04-08 15:03:23,Dreyer's Grand Ice Cream,owned by Nestle
121,2025-04-08 15:03:23,DeviantArt,based in Tel Aviv
122,2025-04-08 15:03:23,Dairy Milk,owned by Cadbury
123,2025-04-08 15:03:23,Eli Lilly,donated three ICUs to Israel
124,2025-04-08 15:03:23,Elie Tahari,founder livs in Israel
125,2025-04-08 15:03:23,Evian,owner of Evian Danone invests millions in Israel
126,2025-04-08 15:03:23,Eucerin,owned by Beiersdorf group that support Israel
127,2025-04-08 15:03:23,Ericsson,provide 5G to Israel
128,2025-04-08 15:03:23,EPAM Systems,acquires Israel based startups
129,2025-04-08 15:03:23,Estee Lauder,owners are the president of World Jewish Congress
130,2025-04-08 15:03:23,Elbit Systems,electronics company headquartered in Israel
131,2025-04-08 15:03:23,El Al Airlines,official Airline of Israel
132,2025-04-08 15:03:23,Expedia,profiting from Israeli settlements
133,2025-04-08 15:03:23,Elementor,an Israeli company
134,2025-04-08 15:03:23,Facebook (Meta),has been censoring neutral content
135,2025-04-08 15:03:23,Fairlife,owned by Coca-Cola
136,2025-04-08 15:03:23,Fancy Medjoul,company with operations in Israel
137,2025-04-08 15:03:23,Food to Live,sells Israeli dates
138,2025-04-08 15:03:23,Fiverr,An Israeli company
139,2025-04-08 15:03:23,FlixBus,CEO André Schwämmlein supported Israel on LinkedIn
140,2025-04-08 15:03:23,Fred Joaillier (Fred Jewelry),owned by LVMH
141,2025-04-08 15:03:23,Funyuns,owned by Pepsi co
142,2025-04-08 15:03:23,Frito-Lay,owned by Pepsi co
143,2025-04-08 15:03:23,Fuze,owned by Coca-Cola
144,2025-04-08 15:03:23,Fox News,biased news reporting
145,2025-04-08 15:03:23,Fritos,owned by Pepsi co
146,2025-04-08 15:03:23,Fox Corp,parent company of Fox News
147,2025-04-08 15:03:23,Foods Alive,sells Israeli organic black cumin seed oil
148,2025-04-08 15:03:23,Ferrero Rocher,has based its head quarters for Asia in Holon Israel
149,2025-04-08 15:03:23,Fanta,owned by the Coca Cola
150,2025-04-08 15:03:23,First International Bank of Israel,headquartered in Israel
151,2025-04-08 15:03:23,Gatorade,owned by PepsiCo with no direct ties to Israel
152,2025-04-08 15:03:23,Gamida Cell,biopharmaceutical company headquartered in Israel
153,2025-04-08 15:03:23,GE (General Electric),operations and partnerships in Israel
154,2025-04-08 15:03:23,General Catalyst,provide support for the state of Israel and its tech community
155,2025-04-08 15:03:23,General Motors,operations and partnerships in Israel
156,2025-04-08 15:03:23,Gold Peak,owned by Coca-Cola with
157,2025-04-08 15:03:23,Genesys,has an official in Israel
158,2025-04-08 15:03:23,Grandma's Cookies,owned Frito-LayPepsi Co
159,2025-04-08 15:03:23,Google,accused of giving data and proving support
160,2025-04-08 15:03:23,GA-DE Cosmetics,cosmetics brand headquartered in Israel
161,2025-04-08 15:03:23,Garnier,owned by L'Oreal
162,2025-04-08 15:03:23,Galaxy Chocolate,a chocolate brand owned by Mars Inc
163,2025-04-08 15:03:23,Guerlain,owned by LVMH
164,2025-04-08 15:03:23,Givenchy,owned by LVMH
165,2025-04-08 15:03:23,H&M,H&M is encouraging and legitimizing military
166,2025-04-08 15:03:23,Hadiklaim,date growers cooperative headquartered in Israel
167,2025-04-08 15:03:23,Huggies,founding company Kimberly-Clark received the Jubilee Award by the Israeli Prime Minister Netanyahu
168,2025-04-08 15:03:23,HSBC,invests in companies selling arms and military equipment
169,2025-04-08 15:03:23,Head & Shoulders,owned by Procter & Gamble
170,2025-04-08 15:03:23,Hewlett Packard (HP),contracted by the Israel Police to provide Data Center Care services
171,2025-04-08 15:03:23,Healthy Heights,owned by Jewish
172,2025-04-08 15:03:23,Hulu,broadcasts pro-Israeli advertisements
173,2025-04-08 15:03:23,Hyundai,heavy machinery has been used in the demolition in Jerusalem
174,2025-04-08 15:03:23,Henkel,investing in Israeli technology by backing Feelit
175,2025-04-08 15:03:23,Hostess,owned by Bimbo
176,2025-04-08 15:03:23,Harel Insurance Investment & Financial Services,insurance company headquartered in Israel
177,2025-04-08 15:03:23,Hotstar,streaming service owned by Disney
178,2025-04-08 15:03:23,IBM,involvements in Israeli security and military apparatus
179,2025-04-08 15:03:23,IKEA,donated $1.1 million to Israel
180,2025-04-08 15:03:23,Innocent Smoothies,owned by Coca-Cola company
181,2025-04-08 15:03:23,Insight Partners,venture capital firm with investments in Israeli tech companies
182,2025-04-08 15:03:23,Inditex Group,parent company of brands like Zara with stores and operations in Israel
183,2025-04-08 15:03:23,IT Cosmetics,owned by L'Oréal
